PC,    I,     INSTRUCTION,  x,   kk,    regVx
b0,    0,     0,        0,  0,   0
b2,    0,     0,        0,  0,   0
b4,    0,     0,        0,  0,   0
b6,    0,     0,        0,  0,   0
b8,    0,     0,        0,  0,   0
ba,    0,     0,        0,  0,   0
bc,    0,     0,        0,  0,   0
be,    0,     0,        0,  0,   0
c0,    0,     0,        0,  0,   0
c2,    0,     0,        0,  0,   0
c4,    0,     0,        0,  0,   0
c6,    0,     0,        0,  0,   0
c8,    0,     0,        0,  0,   0
ca,    0,     0,        0,  0,   0
cc,    0,     0,        0,  0,   0
ce,    0,     0,        0,  0,   0
d0,    0,     0,        0,  0,   0
d2,    0,     0,        0,  0,   0
d4,    0,     0,        0,  0,   0
d6,    0,     0,        0,  0,   0
d8,    0,     0,        0,  0,   0
da,    0,     0,        0,  0,   0
dc,    0,     0,        0,  0,   0
de,    0,     0,        0,  0,   0
e0,    0,     0,        0,  0,   0
e2,    0,     0,        0,  0,   0
e4,    0,     0,        0,  0,   0
e6,    0,     0,        0,  0,   0
e8,    0,     0,        0,  0,   0
ea,    0,     0,        0,  0,   0
ec,    0,     0,        0,  0,   0
ee,    0,     0,        0,  0,   0
f0,    0,     0,        0,  0,   0
f2,    0,     0,        0,  0,   0
f4,    0,     0,        0,  0,   0
f6,    0,     0,        0,  0,   0
f8,    0,     0,        0,  0,   0
fa,    0,     0,        0,  0,   0
fc,    0,     0,        0,  0,   0
fe,    0,     0,        0,  0,   0
100,    0,     0,        0,  0,   0
102,    0,     0,        0,  0,   0
104,    0,     0,        0,  0,   0
106,    0,     0,        0,  0,   0
108,    0,     0,        0,  0,   0
10a,    0,     0,        0,  0,   0
10c,    0,     0,        0,  0,   0
10e,    0,     0,        0,  0,   0
110,    0,     0,        0,  0,   0
112,    0,     0,        0,  0,   0
114,    0,     0,        0,  0,   0
116,    0,     0,        0,  0,   0
118,    0,     0,        0,  0,   0
11a,    0,     0,        0,  0,   0
11c,    0,     0,        0,  0,   0
11e,    0,     0,        0,  0,   0
120,    0,     0,        0,  0,   0
122,    0,     0,        0,  0,   0
124,    0,     0,        0,  0,   0
126,    0,     0,        0,  0,   0
128,    0,     0,        0,  0,   0
12a,    0,     0,        0,  0,   0
12c,    0,     0,        0,  0,   0
12e,    0,     0,        0,  0,   0
130,    0,     0,        0,  0,   0
132,    0,     0,        0,  0,   0
134,    0,     0,        0,  0,   0
136,    0,     0,        0,  0,   0
138,    0,     0,        0,  0,   0
13a,    0,     0,        0,  0,   0
13c,    0,     0,        0,  0,   0
13e,    0,     0,        0,  0,   0
140,    0,     0,        0,  0,   0
142,    0,     0,        0,  0,   0
144,    0,     0,        0,  0,   0
146,    0,     0,        0,  0,   0
148,    0,     0,        0,  0,   0
14a,    0,     0,        0,  0,   0
14c,    0,     0,        0,  0,   0
14e,    0,     0,        0,  0,   0
150,    0,     0,        0,  0,   0
152,    0,     0,        0,  0,   0
154,    0,     0,        0,  0,   0
156,    0,     0,        0,  0,   0
158,    0,     0,        0,  0,   0
15a,    0,     0,        0,  0,   0
15c,    0,     0,        0,  0,   0
15e,    0,     0,        0,  0,   0
160,    0,     0,        0,  0,   0
162,    0,     0,        0,  0,   0
164,    0,     0,        0,  0,   0
166,    0,     0,        0,  0,   0
168,    0,     0,        0,  0,   0
16a,    0,     0,        0,  0,   0
16c,    0,     0,        0,  0,   0
16e,    0,     0,        0,  0,   0
170,    0,     0,        0,  0,   0
172,    0,     0,        0,  0,   0
174,    0,     0,        0,  0,   0
176,    0,     0,        0,  0,   0
178,    0,     0,        0,  0,   0
17a,    0,     0,        0,  0,   0
17c,    0,     0,        0,  0,   0
17e,    0,     0,        0,  0,   0
180,    0,     0,        0,  0,   0
182,    0,     0,        0,  0,   0
184,    0,     0,        0,  0,   0
186,    0,     0,        0,  0,   0
188,    0,     0,        0,  0,   0
18a,    0,     0,        0,  0,   0
18c,    0,     0,        0,  0,   0
18e,    0,     0,        0,  0,   0
190,    0,     0,        0,  0,   0
192,    0,     0,        0,  0,   0
194,    0,     0,        0,  0,   0
196,    0,     0,        0,  0,   0
198,    0,     0,        0,  0,   0
19a,    0,     0,        0,  0,   0
19c,    0,     0,        0,  0,   0
19e,    0,     0,        0,  0,   0
1a0,    0,     0,        0,  0,   0
1a2,    0,     0,        0,  0,   0
1a4,    0,     0,        0,  0,   0
1a6,    0,     0,        0,  0,   0
1a8,    0,     0,        0,  0,   0
1aa,    0,     0,        0,  0,   0
1ac,    0,     0,        0,  0,   0
1ae,    0,     0,        0,  0,   0
1b0,    0,     0,        0,  0,   0
1b2,    0,     0,        0,  0,   0
1b4,    0,     0,        0,  0,   0
1b6,    0,     0,        0,  0,   0
